Group.1,Group.2,Experimentname,source,FLYBASE
49,40,32086,cnU1,FBgn0052086
8,12,32086,cnU1,FBgn0052086
26,31,32086,cnU1,FBgn0052086
32,29,32086,cnU1,FBgn0052086
39,39,32086,cnU1,FBgn0052086
48,35,32086,cnU1,FBgn0052086
67,53,32086,cnU1,FBgn0052086
35,45,32086,cnU1,FBgn0052086
25,27,32086,cnU1,FBgn0052086
30,29,32086,cnU1,FBgn0052086
40,13,Act,cnU1,FBgn0000042
34,0,Act,cnU1,FBgn0000042
85,20,Act,cnU1,FBgn0000042
63,7,Act,cnU1,FBgn0000042
53,5,Act,cnU1,FBgn0000042
67,7,Act,cnU1,FBgn0000042
80,4,Act,cnU1,FBgn0000042
99,11,Act,cnU1,FBgn0000042
97,9,Act,cnU1,FBgn0000042
54,18,Act,cnU1,FBgn0000042
100,2,Act,cnU1,FBgn0000042
64,3,Act,cnU1,FBgn0000042
65,12,Act,cnU1,FBgn0000042
54,22,Act,cnU1,FBgn0000042
71,7,Act,cnU1,FBgn0000042
63,5,Act,cnU1,FBgn0000042
78,6,Act,cnU1,FBgn0000042
64,10,Act,cnU1,FBgn0000042
64,1,Act,cnU1,FBgn0000042
57,12,Act,cnU1,FBgn0000042
41,24,Act,cnU1,FBgn0000042
67,11,Act,cnU1,FBgn0000042
75,11,Act,cnU1,FBgn0000042
60,21,babos,cnU1,FBgn0034724
54,15,babos,cnU1,FBgn0034724
45,20,babos,cnU1,FBgn0034724
39,15,babos,cnU1,FBgn0034724
66,14,babos,cnU1,FBgn0034724
63,19,babos,cnU1,FBgn0034724
15,5,babos,cnU1,FBgn0034724
29,19,babos,cnU1,FBgn0034724
64,15,CG3223,cnU1,FBgn0037538
72,21,CG3223,cnU1,FBgn0037538
49,17,CG3223,cnU1,FBgn0037538
38,9,CG3223,cnU1,FBgn0037538
113,23,CG3223,cnU1,FBgn0037538
82,28,CG3223,cnU1,FBgn0037538
70,16,CG3223,cnU1,FBgn0037538
31,9,CG3223,cnU1,FBgn0037538
88,13,CG3223,cnU1,FBgn0037538
63,19,CG4415,cnU1,FBgn0031296
48,15,CG4415,cnU1,FBgn0031296
41,28,CG4415,cnU1,FBgn0031296
44,10,CG4415,cnU1,FBgn0031296
43,8,CG4415,cnU1,FBgn0031296
66,15,CG4415,cnU1,FBgn0031296
44,12,CG4415,cnU1,FBgn0031296
81,27,CG4415,cnU1,FBgn0031296
47,8,CG4415,cnU1,FBgn0031296
52,26,CG4415,cnU1,FBgn0031296
37,7,CG7878,cnU1,FBgn0037549
58,15,CG7878,cnU1,FBgn0037549
