Group.1,Group.2,Experimentname,source,FLYBASE
10,0,act ,yellow,FBgn0000042
26,3,act ,yellow,FBgn0000042
69,16,act ,yellow,FBgn0000042
34,3,act ,yellow,FBgn0000042
43,8,act ,yellow,FBgn0000042
39,21,act ,yellow,FBgn0000042
37,4,act ,yellow,FBgn0000042
30,4,act ,yellow,FBgn0000042
56,6,act ,yellow,FBgn0000042
24,1,act ,yellow,FBgn0000042
31,12,act ,yellow,FBgn0000042
48,11,act ,yellow,FBgn0000042
112,6,act ,yellow,FBgn0000042
36,0,act ,yellow,FBgn0000042
57,4,act ,yellow,FBgn0000042
20,3,act ,yellow,FBgn0000042
73,41,act ,yellow,FBgn0000042
41,6,act ,yellow,FBgn0000042
99,19,act ,yellow,FBgn0000042
121,0,act ,yellow,FBgn0000042
40,9,act ,yellow,FBgn0000042
49,7,act ,yellow,FBgn0000042
40,0,act ,yellow,FBgn0000042
29,8,act ,yellow,FBgn0000042
122,6,act ,yellow,FBgn0000042
90,34,act ,yellow,FBgn0000042
62,9,act ,yellow,FBgn0000042
46,4,act ,yellow,FBgn0000042
75,3,act ,yellow,FBgn0000042
77,5,act ,yellow,FBgn0000042
114,5,act ,yellow,FBgn0000042
91,6,act ,yellow,FBgn0000042
38,7,act ,yellow,FBgn0000042
42,7,act ,yellow,FBgn0000042
81,8,act ,yellow,FBgn0000042
81,12,act ,yellow,FBgn0000042
73,7,act ,yellow,FBgn0000042
92,3,act ,yellow,FBgn0000042
121,5,act ,yellow,FBgn0000042
89,13,act ,yellow,FBgn0000042
11,6,babos ,yellow,FBgn0034724
53,25,babos ,yellow,FBgn0034724
16,11,babos ,yellow,FBgn0034724
16,10,babos ,yellow,FBgn0034724
5,4,babos ,yellow,FBgn0034724
13,11,babos ,yellow,FBgn0034724
14,8,babos ,yellow,FBgn0034724
9,5,babos ,yellow,FBgn0034724
4,1,babos ,yellow,FBgn0034724
6,7,babos ,yellow,FBgn0034724
11,9,babos ,yellow,FBgn0034724
9,3,babos ,yellow,FBgn0034724
23,17,babos ,yellow,FBgn0034724
10,3,babos ,yellow,FBgn0034724
27,14,babos ,yellow,FBgn0034724
24,11,babos ,yellow,FBgn0034724
16,13,babos ,yellow,FBgn0034724
32,11,babos ,yellow,FBgn0034724
18,16,babos ,yellow,FBgn0034724
36,18,babos ,yellow,FBgn0034724
13,4,babos ,yellow,FBgn0034724
34,10,babos ,yellow,FBgn0034724
7,0,babos ,yellow,FBgn0034724
22,17,babos ,yellow,FBgn0034724
11,3,babos ,yellow,FBgn0034724
15,7,babos ,yellow,FBgn0034724
14,17,babos ,yellow,FBgn0034724
7,9,babos ,yellow,FBgn0034724
12,12,babos ,yellow,FBgn0034724
1,2,babos ,yellow,FBgn0034724
40,8,CG11929 ,yellow,FBgn0031620
79,10,CG11929 ,yellow,FBgn0031620
63,11,CG11929 ,yellow,FBgn0031620
49,9,CG11929 ,yellow,FBgn0031620
40,9,CG11929 ,yellow,FBgn0031620
66,10,CG11929 ,yellow,FBgn0031620
71,3,CG11929 ,yellow,FBgn0031620
38,7,CG11929 ,yellow,FBgn0031620
89,24,CG11929 ,yellow,FBgn0031620
33,6,CG11929 ,yellow,FBgn0031620
19,5,CG11929 ,yellow,FBgn0031620
73,8,CG11929 ,yellow,FBgn0031620
94,35,CG11929 ,yellow,FBgn0031620
97,21,CG11929 ,yellow,FBgn0031620
76,22,CG11929 ,yellow,FBgn0031620
30,9,CG11929 ,yellow,FBgn0031620
43,6,CG11929 ,yellow,FBgn0031620
80,25,CG11929 ,yellow,FBgn0031620
89,18,CG11929 ,yellow,FBgn0031620
80,12,CG11929 ,yellow,FBgn0031620
18,2,CG11929 ,yellow,FBgn0031620
38,1,CG11929 ,yellow,FBgn0031620
60,11,CG11929 ,yellow,FBgn0031620
71,20,CG11929 ,yellow,FBgn0031620
115,13,CG11929 ,yellow,FBgn0031620
81,18,CG11929 ,yellow,FBgn0031620
72,11,CG11929 ,yellow,FBgn0031620
78,10,CG11929 ,yellow,FBgn0031620
42,7,CG11929 ,yellow,FBgn0031620
39,2,CG11929 ,yellow,FBgn0031620
56,9,CG14357 ,yellow,FBgn0038204
43,10,CG14357 ,yellow,FBgn0038204
90,15,CG14357 ,yellow,FBgn0038204
21,11,CG14357 ,yellow,FBgn0038204
23,5,CG14357 ,yellow,FBgn0038204
55,19,CG14357 ,yellow,FBgn0038204
62,14,CG14357 ,yellow,FBgn0038204
55,10,CG14357 ,yellow,FBgn0038204
41,13,CG14357 ,yellow,FBgn0038204
72,19,CG14357 ,yellow,FBgn0038204
32,9,CG14357 ,yellow,FBgn0038204
29,2,CG14357 ,yellow,FBgn0038204
75,21,CG14357 ,yellow,FBgn0038204
29,4,CG14357 ,yellow,FBgn0038204
26,8,CG14357 ,yellow,FBgn0038204
61,8,CG14357 ,yellow,FBgn0038204
30,6,CG14357 ,yellow,FBgn0038204
19,4,CG14357 ,yellow,FBgn0038204
34,9,CG14357 ,yellow,FBgn0038204
13,4,CG14357 ,yellow,FBgn0038204
99,19,CG14357 ,yellow,FBgn0038204
55,20,CG14357 ,yellow,FBgn0038204
61,26,CG14357 ,yellow,FBgn0038204
53,19,CG14357 ,yellow,FBgn0038204
75,21,CG14357 ,yellow,FBgn0038204
73,21,CG14357 ,yellow,FBgn0038204
9,1,CG14357 ,yellow,FBgn0038204
16,6,CG14357 ,yellow,FBgn0038204
33,10,CG14357 ,yellow,FBgn0038204
72,32,CG14357 ,yellow,FBgn0038204
51,21,CG14357 ,yellow,FBgn0038204
30,15,CG14357 ,yellow,FBgn0038204
94,25,CG14357 ,yellow,FBgn0038204
16,9,CG14357 ,yellow,FBgn0038204
29,4,CG14357 ,yellow,FBgn0038204
64,10,CG14357 ,yellow,FBgn0038204
68,7,CG42854 ,yellow,FBgn0262101
40,13,CG42854 ,yellow,FBgn0262101
49,8,CG42854 ,yellow,FBgn0262101
38,11,CG42854 ,yellow,FBgn0262101
37,13,CG42854 ,yellow,FBgn0262101
44,21,CG42854 ,yellow,FBgn0262101
58,19,CG42854 ,yellow,FBgn0262101
59,19,CG42854 ,yellow,FBgn0262101
54,15,CG42854 ,yellow,FBgn0262101
43,14,CG42854 ,yellow,FBgn0262101
51,10,CG42854 ,yellow,FBgn0262101
59,21,CG42854 ,yellow,FBgn0262101
48,13,CG42854 ,yellow,FBgn0262101
