"Group.1","Group.2","Experimentname","gender","Experiment"
49,40,"32086","F","32086F inheritance"
8,12,"32086","F","32086F inheritance"
26,31,"32086","F","32086F inheritance"
32,29,"32086","F","32086F inheritance"
39,39,"32086","F","32086F inheritance"
48,35,"32086","F","32086F inheritance"
67,53,"32086","F","32086F inheritance"
35,45,"32086","F","32086F inheritance"
25,27,"32086","F","32086F inheritance"
30,29,"32086","F","32086F inheritance"
21,21,"32086","M","32086M inheritance"
70,60,"32086","M","32086M inheritance"
40,42,"32086","M","32086M inheritance"
47,48,"32086","M","32086M inheritance"
38,32,"32086","M","32086M inheritance"
39,37,"32086","M","32086M inheritance"
20,23,"32086","M","32086M inheritance"
41,56,"32086","M","32086M inheritance"
67,53,"32086","M","32086M inheritance"
45,51,"32086","M","32086M inheritance"
40,13,"Act","F","ActF inheritance"
34,0,"Act","F","ActF inheritance"
85,20,"Act","F","ActF inheritance"
63,7,"Act","F","ActF inheritance"
53,5,"Act","F","ActF inheritance"
67,7,"Act","F","ActF inheritance"
80,4,"Act","F","ActF inheritance"
99,11,"Act","F","ActF inheritance"
97,9,"Act","F","ActF inheritance"
54,18,"Act","F","ActF inheritance"
100,2,"Act","F","ActF inheritance"
64,3,"Act","F","ActF inheritance"
65,12,"Act","F","ActF inheritance"
54,22,"Act","F","ActF inheritance"
71,7,"Act","F","ActF inheritance"
63,5,"Act","F","ActF inheritance"
78,6,"Act","F","ActF inheritance"
64,10,"Act","F","ActF inheritance"
64,1,"Act","F","ActF inheritance"
57,12,"Act","F","ActF inheritance"
41,24,"Act","F","ActF inheritance"
67,11,"Act","F","ActF inheritance"
75,11,"Act","F","ActF inheritance"
36,35,"Act","M","ActM inheritance"
68,61,"Act","M","ActM inheritance"
41,30,"Act","M","ActM inheritance"
67,49,"Act","M","ActM inheritance"
9,8,"Act","M","ActM inheritance"
81,56,"Act","M","ActM inheritance"
63,45,"Act","M","ActM inheritance"
62,54,"Act","M","ActM inheritance"
44,32,"Act","M","ActM inheritance"
22,9,"Act","M","ActM inheritance"
74,67,"Act","M","ActM inheritance"
42,37,"Act","M","ActM inheritance"
52,34,"Act","M","ActM inheritance"
29,42,"Act","M","ActM inheritance"
54,23,"Act","M","ActM inheritance"
63,60,"Act","M","ActM inheritance"
37,31,"Act","M","ActM inheritance"
53,26,"Act","M","ActM inheritance"
53,39,"Act","M","ActM inheritance"
47,42,"Act","M","ActM inheritance"
60,63,"Act","M","ActM inheritance"
23,33,"Act","M","ActM inheritance"
56,31,"Act","M","ActM inheritance"
44,33,"Act","M","ActM inheritance"
61,20,"Act","M","ActM inheritance"
29,39,"Act","M","ActM inheritance"
60,21,"babos","F","babosF inheritance"
54,15,"babos","F","babosF inheritance"
45,20,"babos","F","babosF inheritance"
39,15,"babos","F","babosF inheritance"
66,14,"babos","F","babosF inheritance"
63,19,"babos","F","babosF inheritance"
15,5,"babos","F","babosF inheritance"
29,19,"babos","F","babosF inheritance"
44,19,"babos","M","babosM inheritance"
69,41,"babos","M","babosM inheritance"
36,17,"babos","M","babosM inheritance"
49,31,"babos","M","babosM inheritance"
26,10,"babos","M","babosM inheritance"
63,36,"babos","M","babosM inheritance"
64,20,"babos","M","babosM inheritance"
14,18,"babos","M","babosM inheritance"
41,28,"babos","M","babosM inheritance"
64,15,"CG3223","F","CG3223F inheritance"
72,21,"CG3223","F","CG3223F inheritance"
49,17,"CG3223","F","CG3223F inheritance"
38,9,"CG3223","F","CG3223F inheritance"
113,23,"CG3223","F","CG3223F inheritance"
82,28,"CG3223","F","CG3223F inheritance"
70,16,"CG3223","F","CG3223F inheritance"
31,9,"CG3223","F","CG3223F inheritance"
88,13,"CG3223","F","CG3223F inheritance"
83,29,"CG3223","M","CG3223M inheritance"
71,26,"CG3223","M","CG3223M inheritance"
87,62,"CG3223","M","CG3223M inheritance"
62,36,"CG3223","M","CG3223M inheritance"
77,29,"CG3223","M","CG3223M inheritance"
52,32,"CG3223","M","CG3223M inheritance"
93,26,"CG3223","M","CG3223M inheritance"
87,54,"CG3223","M","CG3223M inheritance"
79,43,"CG3223","M","CG3223M inheritance"
37,13,"CG3223","M","CG3223M inheritance"
63,19,"CG4415","F","CG4415F inheritance"
48,15,"CG4415","F","CG4415F inheritance"
41,28,"CG4415","F","CG4415F inheritance"
44,10,"CG4415","F","CG4415F inheritance"
43,8,"CG4415","F","CG4415F inheritance"
66,15,"CG4415","F","CG4415F inheritance"
44,12,"CG4415","F","CG4415F inheritance"
81,27,"CG4415","F","CG4415F inheritance"
47,8,"CG4415","F","CG4415F inheritance"
52,26,"CG4415","F","CG4415F inheritance"
49,15,"CG4415","M","CG4415M inheritance"
65,29,"CG4415","M","CG4415M inheritance"
70,27,"CG4415","M","CG4415M inheritance"
36,14,"CG4415","M","CG4415M inheritance"
54,31,"CG4415","M","CG4415M inheritance"
72,15,"CG4415","M","CG4415M inheritance"
51,14,"CG4415","M","CG4415M inheritance"
79,23,"CG4415","M","CG4415M inheritance"
49,39,"CG4415","M","CG4415M inheritance"
58,38,"CG4415","M","CG4415M inheritance"
37,7,"CG7878","F","CG7878F inheritance"
58,15,"CG7878","F","CG7878F inheritance"
43,13,"CG7878","F","CG7878F inheritance"
66,10,"CG7878","F","CG7878F inheritance"
35,15,"CG7878","F","CG7878F inheritance"
54,6,"CG7878","F","CG7878F inheritance"
56,22,"CG7878","F","CG7878F inheritance"
32,15,"CG7878","M","CG7878M inheritance"
59,29,"CG7878","M","CG7878M inheritance"
62,24,"CG7878","M","CG7878M inheritance"
76,28,"CG7878","M","CG7878M inheritance"
50,14,"CG7878","M","CG7878M inheritance"
7,1,"CG7878","M","CG7878M inheritance"
62,24,"CG7878","M","CG7878M inheritance"
77,32,"CG7878","M","CG7878M inheritance"
60,15,"CG7878","M","CG7878M inheritance"
83,35,"cyp6","F","cyp6F inheritance"
64,32,"cyp6","F","cyp6F inheritance"
39,12,"cyp6","F","cyp6F inheritance"
16,13,"cyp6","M","cyp6M inheritance"
43,42,"cyp6","M","cyp6M inheritance"
45,32,"cyp6","M","cyp6M inheritance"
32,19,"cyp6","M","cyp6M inheritance"
35,45,"cyp6","M","cyp6M inheritance"
9,7,"cyp6","M","cyp6M inheritance"
65,46,"cyp6","M","cyp6M inheritance"
23,47,"cyp6","M","cyp6M inheritance"
77,29,"fsM3","F","fsM3F inheritance"
2,0,"fsM3","F","fsM3F inheritance"
65,18,"fsM3","F","fsM3F inheritance"
41,17,"fsM3","F","fsM3F inheritance"
59,25,"fsM3","F","fsM3F inheritance"
47,22,"fsM3","F","fsM3F inheritance"
11,6,"fsM3","F","fsM3F inheritance"
49,17,"fsM3","F","fsM3F inheritance"
37,33,"fsM3","M","fsM3M inheritance"
44,17,"fsM3","M","fsM3M inheritance"
8,1,"fsM3","M","fsM3M inheritance"
76,43,"fsM3","M","fsM3M inheritance"
54,22,"fsM3","M","fsM3M inheritance"
43,15,"fsM3","M","fsM3M inheritance"
49,15,"fsM3","M","fsM3M inheritance"
77,40,"fsM3","M","fsM3M inheritance"
50,20,"fsN","F","fsNF inheritance"
53,9,"fsN","F","fsNF inheritance"
59,6,"fsN","F","fsNF inheritance"
51,9,"fsN","F","fsNF inheritance"
72,15,"fsN","F","fsNF inheritance"
51,7,"fsN","F","fsNF inheritance"
76,13,"fsN","F","fsNF inheritance"
90,14,"fsN","F","fsNF inheritance"
67,30,"fsN","F","fsNF inheritance"
30,17,"fsN","F","fsNF inheritance"
67,17,"fsN","F","fsNF inheritance"
59,8,"fsN","F","fsNF inheritance"
54,19,"fsN","F","fsNF inheritance"
53,24,"fsN","F","fsNF inheritance"
68,21,"fsN","F","fsNF inheritance"
53,5,"fsN","F","fsNF inheritance"
62,26,"fsN","M","fsNM inheritance"
30,24,"fsN","M","fsNM inheritance"
62,33,"fsN","M","fsNM inheritance"
44,25,"fsN","M","fsNM inheritance"
93,43,"fsN","M","fsNM inheritance"
71,47,"fsN","M","fsNM inheritance"
73,36,"fsN","M","fsNM inheritance"
68,29,"fsN","M","fsNM inheritance"
59,34,"fsN","M","fsNM inheritance"
51,33,"fsN","M","fsNM inheritance"
45,30,"fsN","M","fsNM inheritance"
39,27,"fsN","M","fsNM inheritance"
98,31,"fsN","M","fsNM inheritance"
46,36,"fsN","M","fsNM inheritance"
28,7,"fsN","M","fsNM inheritance"
72,24,"fsN","M","fsNM inheritance"
91,51,"fsN","M","fsNM inheritance"
86,48,"fsN","M","fsNM inheritance"
90,20,"ms1","F","ms1F inheritance"
78,26,"ms1","F","ms1F inheritance"
55,18,"ms1","F","ms1F inheritance"
76,17,"ms1","F","ms1F inheritance"
62,40,"ms1","F","ms1F inheritance"
80,18,"ms1","F","ms1F inheritance"
90,21,"ms1","F","ms1F inheritance"
76,27,"ms1","F","ms1F inheritance"
48,13,"ms1","F","ms1F inheritance"
50,9,"ms1","M","ms1M inheritance"
95,24,"ms1","M","ms1M inheritance"
80,32,"ms1","M","ms1M inheritance"
65,34,"ms1","M","ms1M inheritance"
33,21,"ms1","M","ms1M inheritance"
