"Group.1","Group.2","Experiment"
24,23,"ms1F inheritance"
48,29,"ms1F inheritance"
36,20,"ms1F inheritance"
42,41,"ms1F inheritance"
14,6,"ms1F inheritance"
39,18,"ms1F inheritance"
18,19,"ms1F inheritance"
42,32,"ms1F inheritance"
6,4,"ms1F inheritance"
27,31,"ms1F inheritance"
51,42,"ms1F inheritance"
47,51,"ms1F inheritance"
76,8,"ms1M inheritance"
29,2,"ms1M inheritance"
114,20,"ms1M inheritance"
34,4,"ms1M inheritance"
19,6,"ms1M inheritance"
39,4,"ms1M inheritance"
34,4,"ms1M inheritance"
33,4,"ms1M inheritance"
112,20,"ms1M inheritance"
38,2,"ms1M inheritance"
7,0,"ms1M inheritance"
72,12,"ms1M inheritance"
59,4,"ms1M inheritance"
23,1,"ms1M inheritance"
69,6,"ms1M inheritance"
38,1,"ms1M inheritance"
112,13,"ms1M inheritance"
55,45,"pp1F inheritance"
5,1,"pp1F inheritance"
17,9,"pp1F inheritance"
58,36,"pp1F inheritance"
41,21,"pp1F inheritance"
11,6,"pp1F inheritance"
31,21,"pp1F inheritance"
31,21,"pp1F inheritance"
54,5,"pp1M inheritance"
36,4,"pp1M inheritance"
84,5,"pp1M inheritance"
51,9,"pp1M inheritance"
4,0,"pp1M inheritance"
46,50,"pp4F inheritance"
24,14,"pp4F inheritance"
19,11,"pp4F inheritance"
26,33,"pp4F inheritance"
114,18,"pp4M inheritance"
73,22,"pp4M inheritance"
48,9,"pp4M inheritance"
96,10,"pp4M inheritance"
15,2,"pp4M inheritance"
16,1,"pp4M inheritance"
4,0,"pp4M inheritance"
26,23,"ps2F inheritance"
75,68,"ps2F inheritance"
69,66,"ps2F inheritance"
66,50,"ps2F inheritance"
56,56,"ps2F inheritance"
39,25,"ps2F inheritance"
63,51,"ps2F inheritance"
53,43,"ps2F inheritance"
30,31,"ps2F inheritance"
132,32,"ps2M inheritance"
45,13,"ps2M inheritance"
42,10,"ps2M inheritance"
45,8,"ps2M inheritance"
62,15,"ps2M inheritance"
63,43,"ps3F inheritance"
47,39,"ps3F inheritance"
45,46,"ps3F inheritance"
10,23,"ps3F inheritance"
11,6,"ps3F inheritance"
42,35,"ps3F inheritance"
53,31,"ps3F inheritance"
28,28,"ps3F inheritance"
44,38,"ps3F inheritance"
129,7,"ps3M inheritance"
127,12,"ps3M inheritance"
85,11,"ps3M inheritance"
81,5,"ps3M inheritance"
57,5,"ps3M inheritance"
66,7,"ps3M inheritance"
10,3,"sp3F inheritance"
38,10,"sp3F inheritance"
17,3,"sp3F inheritance"
2,2,"sp3F inheritance"
14,3,"sp3F inheritance"
37,12,"sp3F inheritance"
51,17,"sp3F inheritance"
59,5,"sp3M inheritance"
98,9,"sp3M inheritance"
108,6,"sp3M inheritance"
96,8,"sp3M inheritance"
49,14,"sp3M inheritance"
41,9,"sp3M inheritance"
