Group 1,Group 2,Experiment
49,40,32086F inheritance
8,12,32086F inheritance
26,31,32086F inheritance
32,29,32086F inheritance
39,39,32086F inheritance
48,35,32086F inheritance
67,53,32086F inheritance
35,45,32086F inheritance
25,27,32086F inheritance
30,29,32086F inheritance
21,21,32086M inheritance
70,60,32086M inheritance
40,42,32086M inheritance
47,48,32086M inheritance
38,32,32086M inheritance
39,37,32086M inheritance
20,23,32086M inheritance
41,56,32086M inheritance
67,53,32086M inheritance
45,51,32086M inheritance
40,13,ActF inheritance
34,0,ActF inheritance
85,20,ActF inheritance
63,7,ActF inheritance
53,5,ActF inheritance
67,7,ActF inheritance
80,4,ActF inheritance
99,11,ActF inheritance
97,9,ActF inheritance
54,18,ActF inheritance
100,2,ActF inheritance
64,3,ActF inheritance
65,12,ActF inheritance
54,22,ActF inheritance
71,7,ActF inheritance
63,5,ActF inheritance
78,6,ActF inheritance
64,10,ActF inheritance
64,1,ActF inheritance
57,12,ActF inheritance
41,24,ActF inheritance
67,11,ActF inheritance
75,11,ActF inheritance
36,35,ActM inheritance
68,61,ActM inheritance
41,30,ActM inheritance
67,49,ActM inheritance
9,8,ActM inheritance
81,56,ActM inheritance
63,45,ActM inheritance
62,54,ActM inheritance
44,32,ActM inheritance
22,9,ActM inheritance
74,67,ActM inheritance
42,37,ActM inheritance
52,34,ActM inheritance
29,42,ActM inheritance
54,23,ActM inheritance
63,60,ActM inheritance
37,31,ActM inheritance
53,26,ActM inheritance
53,39,ActM inheritance
47,42,ActM inheritance
60,63,ActM inheritance
23,33,ActM inheritance
56,31,ActM inheritance
44,33,ActM inheritance
61,20,ActM inheritance
29,39,ActM inheritance
60,21,babosF inheritance
54,15,babosF inheritance
45,20,babosF inheritance
39,15,babosF inheritance
66,14,babosF inheritance
63,19,babosF inheritance
15,5,babosF inheritance
29,19,babosF inheritance
44,19,babosM inheritance
69,41,babosM inheritance
36,17,babosM inheritance
49,31,babosM inheritance
26,10,babosM inheritance
63,36,babosM inheritance
64,20,babosM inheritance
14,18,babosM inheritance
41,28,babosM inheritance
64,15,CG3223F inheritance
72,21,CG3223F inheritance
49,17,CG3223F inheritance
38,9,CG3223F inheritance
113,23,CG3223F inheritance
82,28,CG3223F inheritance
70,16,CG3223F inheritance
31,9,CG3223F inheritance
88,13,CG3223F inheritance
83,29,CG3223M inheritance
71,26,CG3223M inheritance
87,62,CG3223M inheritance
62,36,CG3223M inheritance
77,29,CG3223M inheritance
52,32,CG3223M inheritance
93,26,CG3223M inheritance
87,54,CG3223M inheritance
79,43,CG3223M inheritance
37,13,CG3223M inheritance
63,19,CG4415F inheritance
48,15,CG4415F inheritance
41,28,CG4415F inheritance
44,10,CG4415F inheritance
43,8,CG4415F inheritance
66,15,CG4415F inheritance
44,12,CG4415F inheritance
81,27,CG4415F inheritance
47,8,CG4415F inheritance
52,26,CG4415F inheritance
49,15,CG4415M inheritance
65,29,CG4415M inheritance
70,27,CG4415M inheritance
36,14,CG4415M inheritance
54,31,CG4415M inheritance
72,15,CG4415M inheritance
51,14,CG4415M inheritance
79,23,CG4415M inheritance
49,39,CG4415M inheritance
58,38,CG4415M inheritance
37,7,CG7878F inheritance
58,15,CG7878F inheritance
43,13,CG7878F inheritance
66,10,CG7878F inheritance
35,15,CG7878F inheritance
54,6,CG7878F inheritance
56,22,CG7878F inheritance
32,15,CG7878M inheritance
59,29,CG7878M inheritance
62,24,CG7878M inheritance
76,28,CG7878M inheritance
50,14,CG7878M inheritance
7,1,CG7878M inheritance
62,24,CG7878M inheritance
77,32,CG7878M inheritance
60,15,CG7878M inheritance
83,35,cyp6F inheritance
64,32,cyp6F inheritance
39,12,cyp6F inheritance
16,13,cyp6M inheritance
43,42,cyp6M inheritance
45,32,cyp6M inheritance
32,19,cyp6M inheritance
35,45,cyp6M inheritance
9,7,cyp6M inheritance
65,46,cyp6M inheritance
23,47,cyp6M inheritance
77,29,fsM3F inheritance
2,0,fsM3F inheritance
65,18,fsM3F inheritance
41,17,fsM3F inheritance
59,25,fsM3F inheritance
47,22,fsM3F inheritance
11,6,fsM3F inheritance
49,17,fsM3F inheritance
37,33,fsM3M inheritance
44,17,fsM3M inheritance
8,1,fsM3M inheritance
76,43,fsM3M inheritance
54,22,fsM3M inheritance
43,15,fsM3M inheritance
49,15,fsM3M inheritance
77,40,fsM3M inheritance
50,20,fsNF inheritance
53,9,fsNF inheritance
59,6,fsNF inheritance
51,9,fsNF inheritance
72,15,fsNF inheritance
51,7,fsNF inheritance
76,13,fsNF inheritance
90,14,fsNF inheritance
67,30,fsNF inheritance
30,17,fsNF inheritance
67,17,fsNF inheritance
59,8,fsNF inheritance
54,19,fsNF inheritance
53,24,fsNF inheritance
68,21,fsNF inheritance
53,5,fsNF inheritance
62,26,fsNM inheritance
30,24,fsNM inheritance
62,33,fsNM inheritance
44,25,fsNM inheritance
93,43,fsNM inheritance
71,47,fsNM inheritance
73,36,fsNM inheritance
68,29,fsNM inheritance
59,34,fsNM inheritance
51,33,fsNM inheritance
45,30,fsNM inheritance
39,27,fsNM inheritance
98,31,fsNM inheritance
46,36,fsNM inheritance
28,7,fsNM inheritance
72,24,fsNM inheritance
91,51,fsNM inheritance
86,48,fsNM inheritance
90,20,ms1F inheritance
78,26,ms1F inheritance
55,18,ms1F inheritance
76,17,ms1F inheritance
62,40,ms1F inheritance
80,18,ms1F inheritance
90,21,ms1F inheritance
76,27,ms1F inheritance
48,13,ms1F inheritance
50,9,ms1M inheritance
95,24,ms1M inheritance
80,32,ms1M inheritance
65,34,ms1M inheritance
33,21,ms1M inheritance
83,15,ms1M inheritance
56,14,ms1M inheritance
38,34,mtshF inheritance
46,29,mtshF inheritance
55,35,mtshF inheritance
69,32,mtshF inheritance
90,44,mtshF inheritance
47,21,mtshF inheritance
76,42,mtshF inheritance
16,17,mtshF inheritance
46,14,mtshF inheritance
55,24,mtshM inheritance
68,11,mtshM inheritance
57,10,mtshM inheritance
126,58,mtshM inheritance
137,33,mtshM inheritance
114,57,mtshM inheritance
98,52,mtshM inheritance
98,47,mtshM inheritance
34,14,mtshM inheritance
72,31,mtshM inheritance
68,14,nanosF inheritance
92,12,nanosF inheritance
62,27,nanosF inheritance
79,15,nanosF inheritance
109,15,nanosF inheritance
95,15,nanosF inheritance
91,12,nanosF inheritance
74,11,nanosF inheritance
59,15,nanosF inheritance
102,26,nanosF inheritance
65,8,nanosM inheritance
72,47,nanosM inheritance
39,22,nanosM inheritance
55,36,nanosM inheritance
82,41,nanosM inheritance
49,42,nanosM inheritance
78,23,pp1F inheritance
56,3,pp1F inheritance
61,23,pp1F inheritance
48,12,pp1F inheritance
61,10,pp1F inheritance
52,29,pp1F inheritance
58,19,pp1F inheritance
27,12,pp1F inheritance
73,11,pp1F inheritance
29,14,pp1M inheritance
16,6,pp1M inheritance
96,17,pp1M inheritance
66,21,pp1M inheritance
77,23,pp1M inheritance
60,15,pp1M inheritance
94,49,pp1M inheritance
47,45,pp1M inheritance
59,13,pp2F inheritance
63,33,pp2F inheritance
84,33,pp2F inheritance
90,26,pp2F inheritance
31,20,pp2F inheritance
55,33,pp2F inheritance
74,29,pp2F inheritance
47,31,pp2F inheritance
59,19,pp2F inheritance
109,26,pp2M inheritance
67,24,pp2M inheritance
71,10,pp2M inheritance
22,3,pp2M inheritance
26,4,pp2M inheritance
59,7,pp2M inheritance
28,19,pp2M inheritance
138,22,pp2M inheritance
40,11,pp2M inheritance
3,1,pp2M inheritance
44,6,pp3F inheritance
95,13,pp3F inheritance
98,11,pp3F inheritance
48,17,pp3F inheritance
66,21,pp3F inheritance
58,17,pp3F inheritance
35,6,pp3F inheritance
32,6,pp3F inheritance
53,0,pp3F inheritance
43,46,pp3M inheritance
109,45,pp3M inheritance
56,21,pp3M inheritance
20,18,pp3M inheritance
87,55,pp3M inheritance
120,18,pp3M inheritance
58,30,pp3M inheritance
71,20,pp3M inheritance
73,30,pp3M inheritance
34,3,pp4F inheritance
36,12,pp4F inheritance
45,11,pp4F inheritance
4,0,pp4F inheritance
53,11,pp4F inheritance
80,14,pp4F inheritance
54,16,pp4F inheritance
70,16,pp4F inheritance
61,23,pp4F inheritance
54,25,pp4M inheritance
22,5,pp4M inheritance
71,19,pp4M inheritance
56,30,pp4M inheritance
54,15,pp4M inheritance
39,7,pp4M inheritance
133,18,pp4M inheritance
15,14,pp4M inheritance
102,25,pp4M inheritance
4,2,pp4M inheritance
16,0,pp5F inheritance
63,8,pp5F inheritance
29,9,pp5F inheritance
14,5,pp5F inheritance
42,10,pp5F inheritance
58,73,pp5M inheritance
100,48,pp5M inheritance
44,33,pp5M inheritance
104,55,pp5M inheritance
73,13,pp5M inheritance
26,6,pp5M inheritance
91,34,pp5M inheritance
27,7,ps2F inheritance
81,20,ps2F inheritance
66,18,ps2F inheritance
53,19,ps2F inheritance
63,16,ps2F inheritance
59,17,ps2F inheritance
94,15,ps2F inheritance
103,53,ps2M inheritance
134,28,ps2M inheritance
23,8,ps2M inheritance
35,13,ps2M inheritance
57,20,ps2M inheritance
61,21,ps2M inheritance
33,13,ps2M inheritance
107,29,ps2M inheritance
101,22,ps2M inheritance
121,30,ps2M inheritance
