Group.1,Group.2,Experiment
10,0,FBgn0000042 inheritance
26,3,FBgn0000042 inheritance
69,16,FBgn0000042 inheritance
34,3,FBgn0000042 inheritance
43,8,FBgn0000042 inheritance
39,21,FBgn0000042 inheritance
37,4,FBgn0000042 inheritance
30,4,FBgn0000042 inheritance
56,6,FBgn0000042 inheritance
24,1,FBgn0000042 inheritance
31,12,FBgn0000042 inheritance
48,11,FBgn0000042 inheritance
112,6,FBgn0000042 inheritance
36,0,FBgn0000042 inheritance
57,4,FBgn0000042 inheritance
20,3,FBgn0000042 inheritance
73,41,FBgn0000042 inheritance
41,6,FBgn0000042 inheritance
99,19,FBgn0000042 inheritance
121,0,FBgn0000042 inheritance
40,9,FBgn0000042 inheritance
49,7,FBgn0000042 inheritance
40,0,FBgn0000042 inheritance
29,8,FBgn0000042 inheritance
122,6,FBgn0000042 inheritance
90,34,FBgn0000042 inheritance
62,9,FBgn0000042 inheritance
46,4,FBgn0000042 inheritance
75,3,FBgn0000042 inheritance
77,5,FBgn0000042 inheritance
114,5,FBgn0000042 inheritance
91,6,FBgn0000042 inheritance
38,7,FBgn0000042 inheritance
42,7,FBgn0000042 inheritance
81,8,FBgn0000042 inheritance
81,12,FBgn0000042 inheritance
73,7,FBgn0000042 inheritance
92,3,FBgn0000042 inheritance
121,5,FBgn0000042 inheritance
89,13,FBgn0000042 inheritance
0,8,FBgn0000042 Gresistance
0,18,FBgn0000042 Gresistance
2,40,FBgn0000042 Gresistance
2,20,FBgn0000042 Gresistance
0,22,FBgn0000042 Gresistance
6,18,FBgn0000042 Gresistance
2,25,FBgn0000042 Gresistance
1,15,FBgn0000042 Gresistance
0,30,FBgn0000042 Gresistance
1,11,FBgn0000042 Gresistance
6,15,FBgn0000042 Gresistance
1,26,FBgn0000042 Gresistance
1,57,FBgn0000042 Gresistance
0,18,FBgn0000042 Gresistance
2,32,FBgn0000042 Gresistance
1,12,FBgn0000042 Gresistance
21,35,FBgn0000042 Gresistance
4,26,FBgn0000042 Gresistance
8,51,FBgn0000042 Gresistance
0,58,FBgn0000042 Gresistance
1,25,FBgn0000042 Gresistance
4,26,FBgn0000042 Gresistance
0,23,FBgn0000042 Gresistance
4,18,FBgn0000042 Gresistance
0,69,FBgn0000042 Gresistance
17,44,FBgn0000042 Gresistance
3,35,FBgn0000042 Gresistance
3,25,FBgn0000042 Gresistance
3,43,FBgn0000042 Gresistance
3,39,FBgn0000042 Gresistance
4,69,FBgn0000042 Gresistance
3,37,FBgn0000042 Gresistance
3,21,FBgn0000042 Gresistance
4,20,FBgn0000042 Gresistance
5,43,FBgn0000042 Gresistance
2,40,FBgn0000042 Gresistance
1,30,FBgn0000042 Gresistance
0,44,FBgn0000042 Gresistance
2,60,FBgn0000042 Gresistance
3,47,FBgn0000042 Gresistance
0,0,FBgn0000042 embryo
3,1,FBgn0000042 embryo
10,2,FBgn0000042 embryo
5,0,FBgn0000042 embryo
9,0,FBgn0000042 embryo
7,3,FBgn0000042 embryo
6,1,FBgn0000042 embryo
4,2,FBgn0000042 embryo
15,0,FBgn0000042 embryo
7,0,FBgn0000042 embryo
11,0,FBgn0000042 embryo
15,0,FBgn0000042 embryo
20,5,FBgn0000042 embryo
7,0,FBgn0000042 embryo
9,0,FBgn0000042 embryo
1,2,FBgn0000042 embryo
27,0,FBgn0000042 embryo
9,0,FBgn0000042 embryo
17,2,FBgn0000042 embryo
33,1,FBgn0000042 embryo
8,1,FBgn0000042 embryo
11,0,FBgn0000042 embryo
10,1,FBgn0000042 embryo
4,0,FBgn0000042 embryo
24,2,FBgn0000042 embryo
13,3,FBgn0000042 embryo
10,0,FBgn0000042 embryo
9,1,FBgn0000042 embryo
12,2,FBgn0000042 embryo
9,3,FBgn0000042 embryo
18,5,FBgn0000042 embryo
17,7,FBgn0000042 embryo
5,1,FBgn0000042 embryo
14,0,FBgn0000042 embryo
18,5,FBgn0000042 embryo
19,1,FBgn0000042 embryo
14,5,FBgn0000042 embryo
20,5,FBgn0000042 embryo
22,5,FBgn0000042 embryo
12,4,FBgn0000042 embryo
69,7,FBgn0003943 inheritance
58,4,FBgn0003943 inheritance
64,11,FBgn0003943 inheritance
95,15,FBgn0003943 inheritance
59,8,FBgn0003943 inheritance
89,6,FBgn0003943 inheritance
24,2,FBgn0003943 inheritance
113,17,FBgn0003943 inheritance
93,7,FBgn0003943 inheritance
61,14,FBgn0003943 inheritance
89,20,FBgn0003943 inheritance
