cell_type,Abbreviation
unknown,U
16-cell germline cyst in germarium region 2a and 2b,1CGCI
adult abdominal pericardial cell,AAPC
adult alary muscle,AAM
adult brain cell body glial cell,ABCBG
adult brain perineurial glial cell,ABPGC
adult differentiating enterocyte,ADE
adult enterocyte,AE
adult esophagus,AE1
adult fat body,AFB
adult glial cell,AGC
adult heart,AH
adult heart ventral longitudinal muscle,AHVLM
adult hindgut,AH1
adult lamina epithelial/marginal glial cell,ALEMG
adult lobula astrocyte-like glial cell,ALALG
adult Malpighian tubule,AMT
adult Malpighian tubule bar-shaped cell of initial segment,AMTBS
adult Malpighian tubule principal cell,AMTPC
adult Malpighian tubule principal cell of initial segment,AMTP1
adult Malpighian tubule principal cell of lower segment,AMTP2
adult Malpighian tubule principal cell of lower ureter,AMTP3
adult Malpighian tubule principal cell subtype,AMTP4
adult Malpighian tubule stellate cell of main segment,AMTSC
adult Malpighian tubule Type I cell,AMTTI
adult midgut,AM
adult midgut enterocyte,AME
adult midgut-hindgut hybrid zone,AMHHZ
adult neuron,AN
adult oenocyte,AO
"adult olfactory receptor neuron acid-sensing, Ir64a",AORNA
"adult olfactory receptor neuron acid-sensing, Ir75a/b/c, Ir64a",AORN1
adult olfactory receptor neuron Gr21a/63a,AORNG
"adult olfactory receptor neuron Ir56a+, Orco-",AORNI
adult olfactory receptor neuron Ir75d,AORN2
"adult olfactory receptor neuron Ir84a, Ir31a, Ir76a, Ir76b, Ir8a, Or35a",AORN3
adult olfactory receptor neuron Or13a,AORNO
"adult olfactory receptor neuron Or22a, Or42b, Or59b",AORN4
"adult olfactory receptor neuron Or47a, Or56a and likely other ORN types",AORN5
adult olfactory receptor neuron Or47b,AORN6
adult olfactory receptor neuron Or65,AORN7
adult olfactory receptor neuron Or67a and likely other unknown ORN types,AORN8
adult olfactory receptor neuron Or67d,AORN9
adult olfactory receptor neuron Or83c and Or82a,AOR10
"adult olfactory receptor neuron Or85a, Or43b",AOR11
adult olfactory receptor neuron Or88a,AOR12
adult olfactory receptor neuron Or92a,AOR13
"adult olfactory receptor neuron unknown type, Orco-",AORNU
"adult olfactory receptor neuron unknown type, Orco+",AOR14
adult optic chiasma glial cell,AOCGC
adult ostium,AO1
adult peripheral nervous system,APNS
adult peripheral neuron of the heart,APNOT
adult pylorus,AP
adult renal stem cell,ARSC
adult reticular neuropil associated glial cell,ARNAG
adult salivary gland,ASG
adult tracheocyte,AT
adult ventral nervous system,AVNS
alpha'/beta' Kenyon cell,ABKC
alpha/beta Kenyon cell,ABKC1
antennal lobe projection neuron,ALPN
antennal trichoid sensillum at4,ATSA
anterior ejaculatory duct,AED
antimicrobial peptide-producing cell,APPC
"arista and sacculus thermosensory and hygrosensory neuron Ir21a, Ir40a, Gr28b",AASTA
auditory sensory neuron,ASN
bitter-sensitive labellar taste bristle,BSLTB
btl-GAL4 positive female cell 1 - likely to be ovary cell,BGPF1
btl-GAL4 positive female cell 2 - likely to be ovary cell,BGPF2
btl-GAL4 positive female cell 3 - likely to be ovary cell,BGPF3
btl-GAL4 positive female cell 4 - likely to be ovary cell sim positive,BGPF4
"btl-GAL4 positive female cell 5 - likely to be ovary cell sim+, H15+",BGPF5
cardial cell,CC
cell body glial cell,CBGC
central main body follicle cell ca. St. 6-8,CMBFC
centrifugal neuron C2,CNC
centrifugal neuron C3,CNC1
choriogenic main body follicle cell and corpus luteum,CMBF1
choriogenic main body follicle cell St. 12,CMBF2
choriogenic main body follicle cell St. 14,CMBF3
CNS surface associated glial cell,CSAGC
columnar neuron T1,CNT
cone cell,CC1
copper cell,CC2
crop,C
crystal cell,CC3
cyst cell branch a,CCBA
cyst cell branch b,CCBB
