cellname,celltype
unknown,somatic
16-cell germline cyst in germarium region 2a and 2b,Fgermline
adult abdominal pericardial cell,somatic
adult alary muscle,somatic
adult brain cell body glial cell,somatic
adult brain perineurial glial cell,somatic
adult differentiating enterocyte,somatic
adult enterocyte,somatic
adult esophagus,somatic
adult fat body,somatic
adult glial cell,somatic
adult heart,somatic
adult heart ventral longitudinal muscle,somatic
adult hindgut,somatic
adult lamina epithelial/marginal glial cell,somatic
adult lobula astrocyte-like glial cell,somatic
adult Malpighian tubule,somatic
adult Malpighian tubule bar-shaped cell of initial segment,somatic
adult Malpighian tubule principal cell,somatic
adult Malpighian tubule principal cell of initial segment,somatic
adult Malpighian tubule principal cell of lower segment,somatic
adult Malpighian tubule principal cell of lower ureter,somatic
adult Malpighian tubule principal cell subtype,somatic
adult Malpighian tubule stellate cell of main segment,somatic
adult Malpighian tubule Type I cell,somatic
adult midgut,somatic
adult midgut enterocyte,somatic
adult midgut-hindgut hybrid zone,somatic
adult neuron,somatic
adult oenocyte,somatic
"adult olfactory receptor neuron acid-sensing, Ir64a",somatic
"adult olfactory receptor neuron acid-sensing, Ir75a/b/c, Ir64a",somatic
adult olfactory receptor neuron Gr21a/63a,somatic
"adult olfactory receptor neuron Ir56a+, Orco-",somatic
adult olfactory receptor neuron Ir75d,somatic
"adult olfactory receptor neuron Ir84a, Ir31a, Ir76a, Ir76b, Ir8a, Or35a",somatic
adult olfactory receptor neuron Or13a,somatic
"adult olfactory receptor neuron Or22a, Or42b, Or59b",somatic
"adult olfactory receptor neuron Or47a, Or56a and likely other ORN types",somatic
adult olfactory receptor neuron Or47b,somatic
adult olfactory receptor neuron Or65,somatic
adult olfactory receptor neuron Or67a and likely other unknown ORN types,somatic
adult olfactory receptor neuron Or67d,somatic
adult olfactory receptor neuron Or83c and Or82a,somatic
"adult olfactory receptor neuron Or85a, Or43b",somatic
adult olfactory receptor neuron Or88a,somatic
adult olfactory receptor neuron Or92a,somatic
"adult olfactory receptor neuron unknown type, Orco-",somatic
"adult olfactory receptor neuron unknown type, Orco+",somatic
adult optic chiasma glial cell,somatic
adult ostium,somatic
adult peripheral nervous system,somatic
adult peripheral neuron of the heart,somatic
adult pylorus,somatic
adult renal stem cell,somatic
adult reticular neuropil associated glial cell,somatic
adult salivary gland,somatic
adult tracheocyte,somatic
adult ventral nervous system,somatic
alpha'/beta' Kenyon cell,somatic
alpha/beta Kenyon cell,somatic
antennal lobe projection neuron,somatic
antennal trichoid sensillum at4,somatic
anterior ejaculatory duct,Msomatic
antimicrobial peptide-producing cell,somatic
"arista and sacculus thermosensory and hygrosensory neuron Ir21a, Ir40a, Gr28b",somatic
auditory sensory neuron,somatic
bitter-sensitive labellar taste bristle,somatic
btl-GAL4 positive female cell 1 - likely to be ovary cell,Fgermline
btl-GAL4 positive female cell 2 - likely to be ovary cell,Fgermline
btl-GAL4 positive female cell 3 - likely to be ovary cell,Fgermline
btl-GAL4 positive female cell 4 - likely to be ovary cell sim positive,Fgermline
"btl-GAL4 positive female cell 5 - likely to be ovary cell sim+, H15+",Fgermline
cardial cell,somatic
cell body glial cell,somatic
central main body follicle cell ca. St. 6-8,Fsomatic
centrifugal neuron C2,somatic
centrifugal neuron C3,somatic
