FLYBASE,yellow_DC ,yellow_DC_SE,yellow_GR,yellow_GR_SE,yellow_ER,yellow_ER_SE,yellow_Somatic,cnU1_FDC,cnU1_FDC_SE,cnU1_MDC,cnU1_MDC_SE
FBgn0031296,70.20%,2.88%,21.80%,3.52%,2.42%,1.58%,0.25,53.20%,4.76%,42.20%,5.36%
FBgn0037549,63.20%,2.94%,43.00%,4.58%,84.50%,2.35%,1,60.60%,5.40%,45.40%,3.44%
FBgn0032089,61.20%,2.80%,32.00%,3.70%,18.40%,3.14%,0.25,42.60%,4.32%,41.80%,3.18%
FBgn0037538,75.80%,4.76%,22.40%,4.62%,68.50%,3.87%,1,60.20%,2.98%,36.20%,4.34%
FBgn0002962,73.20%,4.00%,20.40%,3.88%,85.00%,2.43%,0,67.80%,3.36%,33.20%,10.22%
FBgn0003401,43.00%,4.44%,28.20%,2.44%,16.50%,3.28%,0.25,50.80%,7.26%,51.80%,3.34%
FBgn0283442,73.80%,3.80%,20.60%,4.38%,80.50%,2.68%,1,59.20%,4.44%,35.40%,6.00%
FBgn0004650,67.20%,3.28%,27.40%,3.04%,87.10%,2.57%,0,62.40%,4.06%,31.40%,2.78%
FBgn0033979,23.80%,2.22%,66.60%,2.86%,79.60%,3.87%,0,40.40%,5.62%,3.60%,7.10%
FBgn0005390,44.40%,2.56%,48.20%,4.26%,73.70%,4.72%,0.25,44.80%,4.06%,36.80%,5.46%
FBgn0004400,64.20%,2.76%,28.40%,2.58%,71.10%,2.74%,1,50.00%,6.16%,39.20%,4.18%
FBgn0033921,75.20%,2.30%,23.80%,2.84%,89.30%,3.06%,0.75,58.80%,6.24%,34.00%,4.64%
FBgn0262101,53.20%,1.93%,22.00%,1.96%,1.72%,0.80%,0.25,53.80%,4.30%,52.20%,6.28%
FBgn0036809,77.20%,3.04%,16.40%,3.48%,92.90%,1.31%,1,69.60%,4.06%,39.80%,3.90%
FBgn0262598,17.00%,2.52%,4.64%,1.65%,0.00%,0.00%,0.25,28.40%,4.16%,46.00%,4.82%
FBgn0034724,26.40%,3.72%,11.76%,4.22%,0.00%,0.00%,0.75,48.60%,4.30%,29.60%,4.62%
FBgn0003943,72.80%,2.44%,18.02%,2.92%,91.30%,1.42%,1,65.40%,6.66%,10.80%,3.42%
FBgn0000042,80.80%,2.58%,12.36%,2.38%,89.20%,2.00%,1,78.60%,3.44%,12.40%,3.10%
FBgn0024177,74.60%,3.66%,24.60%,3.86%,87.60%,2.22%,1,65.20%,4.54%,42.60%,5.66%
FBgn0038204,57.80%,2.20%,22.00%,2.02%,0%,0%,0.25,59.60%,3.40%,53.00%,3.76%
FBgn0031074,62.60%,1.81%,27.20%,2.62%,0.24%,0.41%,0.25,56.20%,3.30%,47.20%,5.58%
FBgn0031620,69.80%,2.22%,27.00%,2.42%,46.80%,2.33%,0.25,65.00%,2.74%,46.40%,6.36%
FBgn0052814,28.00%,1.98%,11.54%,1.43%,0.00%,0.00%,0,42.60%,3.56%,16.80%,3.14%
FBgn0030647,53.00%,3.86%,16.56%,3.38%,0.21%,0.94%,0,53.40%,7.22%,34.60%,3.46%
FBgn0039585,72.20%,2.24%,21.20%,2.60%,95.40%,1.09%,1,68.00%,3.24%,41.80%,5.06%
FBgn0035861,19.60%,3.02%,5.64%,1.82%,0.00%,0.00%,0,44.20%,5.04%,51.20%,3.00%
FBgn0036654,13.20%,2.70%,1.32%,1.27%,0.00%,0.00%,0.75,-3.80%,4.34%,4.20%,4.32%
FBgn0262566,-1.60%,2.48%,0.00%,0.00%,0.00%,0.00%,0,7.20%,4.62%,5.20%,3.34%
FBgn0037296,-1.40%,2.16%,0.48%,0.34%,0.00%,0.00%,0,6.40%,3.84%,8.20%,5.12%
FBgn0028852,69.20%,2.48%,26.00%,1.98%,39.50%,2.70%,1,59.20%,6.28%,45.60%,7.38%
FBgn0030667,23.40%,2.16%,13.38%,1.86%,0.00%,0.00%,0,40.60%,4.72%,63.60%,5.36%
FBgn0034837,79.80%,2.28%,17.72%,2.72%,89.90%,2.67%,1,71.80%,5.64%,37.80%,7.92%
FBgn0034998,55.00%,3.32%,26.00%,2.80%,0.00%,0.00%,0,61.20%,3.70%,53.20%,6.42%
FBgn0051477,68.60%,2.52%,28.20%,2.14%,85.70%,1.63%,1,67.40%,6.22%,36.40%,10.02%
FBgn0052086,-7.40%,5.30%,0.00%,0.00%,0.00%,0.00%,0,2.80%,3.78%,0.60%,3.42%
